Double Precision: Infinite Series summation of 1/n^2
Iteration	Residual	sum
   4900000	2.531975e-14	1.644933862766800
   4910000	2.521672e-14	1.644933863182232
   4920000	2.511432e-14	1.644933863596136
   4930000	2.501254e-14	1.644933864008537
   4940000	2.491137e-14	1.644933864419319
   4950000	2.481082e-14	1.644933864828020
   4960000	2.471088e-14	1.644933865235264
   4970000	2.461154e-14	1.644933865641077
   4980000	2.451280e-14	1.644933866045198
   4990000	2.441465e-14	1.644933866447385
   5000000	2.431709e-14	1.644933866848190
   5010000	2.422011e-14	1.644933867247640
   5020000	2.412371e-14	1.644933867645100
   5030000	2.402789e-14	1.644933868040999
   5040000	2.393263e-14	1.644933868435595
   5050000	2.383794e-14	1.644933868828613
   5060000	2.374382e-14	1.644933869219712
   5070000	2.365024e-14	1.644933869609560
   5080000	2.355723e-14	1.644933869998138
   5090000	2.346475e-14	1.644933870384544
   5100000	2.337282e-14	1.644933870769754
   5110000	2.328144e-14	1.644933871153798
   5120000	2.319058e-14	1.644933871535715
   5130000	2.310026e-14	1.644933871916401
   5140000	2.301046e-14	1.644933872295978
   5150000	2.292119e-14	1.644933872673453
   5160000	2.283243e-14	1.644933873049730
   5170000	2.274419e-14	1.644933873424957
   5180000	2.265646e-14	1.644933873797992
   5190000	2.256924e-14	1.644933874169980
   5200000	2.248251e-14	1.644933874540794
   5210000	2.239629e-14	1.644933874909573
   5220000	2.231056e-14	1.644933875277394
   5230000	2.222533e-14	1.644933875643768
   5240000	2.214058e-14	1.644933876008443
   5250000	2.205631e-14	1.644933876372225
   5260000	2.197253e-14	1.644933876734158
   5270000	2.188922e-14	1.644933877094858
   5280000	2.180639e-14	1.644933877454571
   5290000	2.172402e-14	1.644933877812224
   5300000	2.164212e-14	1.644933878169083
   5310000	2.156068e-14	1.644933878524354
   5320000	2.147970e-14	1.644933878878233
   5330000	2.139918e-14	1.644933879231284
   5340000	2.131911e-14	1.644933879582218
   5350000	2.123949e-14	1.644933879932463
   5360000	2.116031e-14	1.644933880281073
   5370000	2.108157e-14	1.644933880628444
   5380000	2.100327e-14	1.644933880974833
   5390000	2.092541e-14	1.644933881319367
   5400000	2.084798e-14	1.644933881663320
   5410000	2.077098e-14	1.644933882005269
   5420000	2.069441e-14	1.644933882346459
   5430000	2.061825e-14	1.644933882686187
   5440000	2.054252e-14	1.644933883024654
   5450000	2.046721e-14	1.644933883362161
   5460000	2.039230e-14	1.644933883697942
   5470000	2.031781e-14	1.644933884033229
   5480000	2.024373e-14	1.644933884366364
   5490000	2.017004e-14	1.644933884699114
   5500000	2.009677e-14	1.644933885029960
   5510000	2.002389e-14	1.644933885360145
   5520000	1.995140e-14	1.644933885688771
   5530000	1.987931e-14	1.644933886016433
   5540000	1.980761e-14	1.644933886342838
   5550000	1.973629e-14	1.644933886668019
   5560000	1.966536e-14	1.644933886992204
   5570000	1.959481e-14	1.644933887314946
   5580000	1.952465e-14	1.644933887636911
   5590000	1.945485e-14	1.644933887957259
   5600000	1.938543e-14	1.644933888277004
   5610000	1.931638e-14	1.644933888595002
